frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
30;0;225.69;337.66;0.91;229.88;334.78;0.91;225.17;333.99;0.9;236.68;341.32;0.61;222.81;339.75;0.4;245.32;353.88;0.72;218.36;354.41;0.77;259.19;350.22;0.68;225.43;357.55;0.56;262.86;348.91;0.69;230.92;351.27;0.41;242.18;401.26;0.72;226.74;400.74;0.73;240.09;441.05;0.72;220.45;436.86;0.75;241.66;456.75;0.74;214.43;471.67;0.73;175.14;107.22;171.28;179.95;179.22;159.89;108.59;55.79;71.41;124.21;126.56;60.37;47.49;
31;0;225.2;336.59;0.95;229.9;333.83;0.97;224.36;333.55;0.92;236.27;340.47;0.86;221.87;338.53;0.6;243.19;355.97;0.73;215.78;354.87;0.82;252.33;362.34;0.65;222.43;376.74;0.64;250.39;358.46;0.57;223.81;394.18;0.49;241.53;402.48;0.72;222.98;402.48;0.72;240.42;443.45;0.72;219.94;441.24;0.77;241.81;457.57;0.78;215.51;481.1;0.77;28.56;167.64;172.85;178.15;179.5;166.91;57.17;8.3;122.83;171.7;132.74;472.85;1309.23;
32;0;225.44;336.6;0.94;229.87;334.11;0.96;224.61;333.55;0.91;236.24;340.47;0.84;221.84;338.53;0.58;243.16;355.97;0.72;215.75;354.86;0.82;252.29;362.06;0.65;222.4;376.73;0.64;250.63;358.46;0.57;224.06;393.89;0.48;241.49;402.47;0.72;223.23;402.47;0.72;240.39;443.16;0.71;220.18;440.95;0.77;242.05;457.55;0.78;215.48;480.8;0.77;31.53;168.63;171.86;177.79;179.51;166.55;58.36;7.98;121.64;172.02;132.58;7.26;11.31;
33;0;226.28;336.98;0.96;230.77;334.17;0.97;225.16;333.89;0.94;237.23;340.63;0.9;223.19;339.51;0.74;244.81;357.75;0.74;215.61;357.47;0.84;253.23;365.89;0.69;222.35;380.77;0.7;248.74;357.47;0.52;221.79;398.74;0.54;241.16;404.36;0.74;222.63;404.07;0.74;241.16;444.22;0.76;219.83;443.66;0.78;242.57;460.5;0.79;215.9;483.52;0.8;17.9;162.08;175.07;178.43;175.52;167.38;50.45;7.56;129.55;172.44;135.03;64.15;161.08;
34;0;226.7;336.08;0.99;231.73;333.85;0.97;225.58;333.57;0.94;238.43;341.11;0.93;223.91;340.55;0.62;248.2;360.38;0.77;215.81;360.38;0.84;255.18;383.28;0.76;219.72;384.95;0.75;259.93;402.54;0.64;219.44;403.38;0.58;240.66;408.13;0.74;221.67;407.85;0.76;242.06;443.59;0.8;219.44;444.43;0.82;243.18;465.09;0.8;216.37;483.24;0.86;176.89;170.09;179.28;178.97;168.77;169.46;25.93;2.0;154.07;178.0;138.08;1397.82;156.58;
35;0;228.99;335.8;0.88;233.15;333.58;0.91;227.32;333.3;0.87;239.53;340.51;0.83;225.38;339.68;0.54;250.06;361.59;0.79;216.23;361.31;0.85;254.5;387.65;0.81;213.18;387.1;0.78;258.66;410.67;0.79;211.52;408.45;0.69;240.08;410.39;0.76;220.95;410.11;0.77;243.69;443.39;0.82;218.73;446.16;0.84;243.96;471.67;0.82;216.79;482.76;0.85;179.42;177.71;174.33;179.51;162.21;170.96;21.22;12.26;158.78;167.74;141.42;247.52;283.04;
36;0;230.68;334.62;0.91;235.17;332.38;0.97;229.56;331.81;0.95;241.61;339.94;0.9;227.04;339.1;0.61;251.14;361.52;0.82;218.63;361.52;0.82;255.06;391.51;0.85;209.38;389.27;0.8;255.06;417.57;0.83;199.01;411.69;0.75;240.49;410.84;0.8;220.59;410.28;0.78;244.98;445.6;0.85;218.35;447.0;0.86;244.98;478.1;0.85;216.39;483.43;0.85;172.55;173.61;172.65;179.59;160.46;174.2;19.64;20.74;160.36;159.26;146.15;234.27;388.8;
37;0;235.51;332.44;0.89;240.59;329.76;0.9;233.72;329.46;0.85;246.85;337.22;0.66;231.63;336.62;0.35;255.81;358.11;0.78;221.19;358.41;0.76;256.7;374.22;0.67;205.07;375.71;0.73;256.7;373.92;0.63;192.54;384.37;0.62;241.48;409.14;0.74;223.87;408.54;0.73;245.36;445.25;0.77;217.91;446.44;0.76;245.96;484.34;0.8;216.41;483.15;0.79;3.18;167.58;174.74;173.38;158.19;167.98;18.86;46.02;161.14;133.98;151.3;1314.7;845.02;
38;0;235.48;332.48;0.89;240.55;329.79;0.91;233.69;329.49;0.86;246.82;337.25;0.69;231.6;336.35;0.37;255.76;358.13;0.78;221.16;358.43;0.76;256.96;374.53;0.67;205.06;375.73;0.73;256.66;373.04;0.63;191.93;384.38;0.62;241.45;409.13;0.75;223.85;408.54;0.73;245.32;444.93;0.77;217.88;446.42;0.76;245.92;484.6;0.8;216.39;483.4;0.79;7.15;166.34;174.68;173.36;158.14;167.98;19.84;46.02;160.16;133.98;151.53;26.6;18.29;
39;0;237.42;329.84;0.9;242.31;327.09;0.93;235.89;326.48;0.86;249.65;334.43;0.84;234.67;333.21;0.48;256.99;353.39;0.77;224.58;350.94;0.77;259.44;361.65;0.68;209.9;358.59;0.7;259.44;358.89;0.64;202.56;349.72;0.69;243.84;406.29;0.76;225.8;405.38;0.75;245.06;446.05;0.79;218.15;446.66;0.79;245.68;487.64;0.83;216.93;483.97;0.82;16.5;102.1;179.08;171.39;164.28;168.22;30.46;63.78;149.54;116.22;155.96;433.95;1091.06;
