frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
15;0;1485.05;578.59;0.92;1487.2;572.69;0.95;1485.59;572.15;0.91;1499.01;575.91;0.38;1489.89;577.52;0.16;1518.34;618.32;0.78;1512.43;618.86;0.67;1518.34;667.17;0.75;1515.65;669.85;0.66;1480.22;698.84;0.77;1492.03;703.67;0.52;1517.8;715.48;0.72;1523.17;714.41;0.7;1497.94;774.0;0.78;1515.65;774.54;0.75;1538.2;842.71;0.77;1535.52;843.79;0.75;129.73;141.46;130.88;156.87;161.57;166.46;0.32;2.8;179.68;177.2;264.65;123.58;259.69;
15;1;1138.88;569.36;1.0;1143.12;565.5;0.98;1136.18;565.5;0.98;1151.23;568.2;0.89;1131.54;567.81;0.7;1162.04;594.06;0.87;1122.66;597.15;0.87;1168.99;624.56;0.88;1117.26;624.94;0.8;1147.37;628.03;0.82;1121.89;629.96;0.77;1155.86;656.21;0.8;1136.56;657.37;0.8;1152.77;695.2;0.81;1139.65;696.74;0.83;1155.48;740.75;0.85;1147.76;737.66;0.82;86.29;126.29;172.08;173.28;178.85;171.49;18.51;24.0;161.49;156.0;169.85;26.7;53.69;
16;0;1484.71;578.62;0.92;1487.39;572.72;0.95;1485.25;572.18;0.91;1499.2;575.94;0.38;1490.08;577.55;0.17;1517.97;618.32;0.78;1512.61;618.86;0.67;1519.05;666.07;0.76;1516.36;669.82;0.67;1480.42;698.79;0.78;1494.37;703.62;0.52;1517.44;715.96;0.72;1523.34;714.35;0.7;1497.59;773.9;0.79;1515.83;774.44;0.75;1538.36;843.11;0.77;1535.14;843.65;0.75;128.98;142.73;130.58;157.28;161.4;166.46;1.6;2.2;178.4;177.8;264.76;6.05;70.24;
16;1;1138.91;569.51;1.0;1143.15;565.67;0.98;1136.22;565.67;0.98;1151.23;567.98;0.9;1131.6;567.98;0.71;1162.39;593.77;0.87;1122.74;596.85;0.87;1168.94;624.56;0.88;1117.36;624.95;0.8;1147.77;628.41;0.83;1121.59;629.95;0.78;1155.85;656.13;0.8;1136.6;657.28;0.8;1152.77;695.39;0.81;1139.68;696.55;0.84;1155.46;740.81;0.85;1147.77;737.73;0.83;88.31;128.91;172.12;173.38;178.49;171.57;17.99;23.77;162.01;156.23;169.76;16.49;9.11;
17;0;1484.62;575.07;0.91;1487.3;568.64;0.93;1485.69;568.64;0.85;1498.55;571.85;0.48;1495.87;572.93;0.24;1517.83;613.64;0.77;1511.94;614.18;0.67;1519.44;661.86;0.76;1521.05;665.07;0.67;1485.15;698.82;0.78;1501.76;702.03;0.54;1516.76;710.61;0.71;1523.73;709.0;0.68;1499.62;771.14;0.79;1516.23;770.07;0.75;1538.73;842.39;0.77;1533.9;840.25;0.76;135.24;142.3;135.43;158.86;164.82;165.91;2.54;3.06;177.46;176.94;266.25;142.52;227.58;
17;1;1138.77;569.4;1.0;1142.94;565.6;0.98;1136.11;565.6;0.99;1150.91;568.26;0.91;1131.18;568.26;0.71;1161.92;594.07;0.87;1122.45;596.72;0.87;1168.75;624.81;0.88;1117.51;623.67;0.81;1147.87;629.36;0.83;1119.79;630.12;0.79;1155.46;655.92;0.8;1136.11;657.44;0.8;1152.43;695.01;0.81;1139.53;696.53;0.84;1155.08;740.93;0.85;1147.49;736.76;0.83;89.78;150.18;172.25;173.79;178.49;172.31;18.48;23.06;161.52;156.94;169.44;28.72;54.35;
18;0;1483.74;573.15;0.91;1486.45;567.75;0.93;1484.28;567.21;0.84;1497.8;569.91;0.64;1498.88;569.91;0.39;1516.73;611.55;0.78;1512.95;611.55;0.69;1517.27;660.23;0.75;1518.9;662.39;0.7;1493.48;703.5;0.77;1499.43;699.71;0.61;1518.35;708.36;0.68;1519.44;706.2;0.63;1506.46;771.64;0.73;1506.46;768.4;0.75;1543.23;841.41;0.74;1530.25;836.54;0.73;150.55;145.77;141.56;148.96;168.39;164.29;0.32;2.75;179.68;177.25;265.82;287.26;99.15;
18;1;1136.98;569.19;1.0;1141.26;565.3;0.98;1134.25;565.3;0.99;1149.44;568.02;0.86;1129.58;568.02;0.66;1159.95;593.72;0.87;1121.4;596.83;0.88;1168.13;625.26;0.88;1116.73;623.7;0.84;1147.88;631.88;0.82;1120.63;632.26;0.77;1154.89;657.18;0.81;1135.03;658.74;0.82;1150.99;695.73;0.82;1138.15;697.28;0.84;1154.5;741.67;0.86;1147.1;737.39;0.83;93.57;145.69;169.87;172.03;178.79;172.21;19.09;22.28;160.91;157.72;170.34;75.72;69.29;
19;0;1483.83;573.11;0.91;1486.54;567.7;0.93;1484.37;567.16;0.84;1497.9;569.87;0.64;1498.98;569.87;0.39;1516.85;611.54;0.78;1513.6;611.54;0.69;1516.85;660.26;0.75;1519.01;662.42;0.7;1493.57;703.56;0.77;1500.07;699.77;0.62;1518.47;708.43;0.68;1519.55;706.26;0.63;1506.56;771.21;0.74;1506.56;768.51;0.75;1543.37;841.58;0.74;1530.38;836.16;0.73;151.74;147.03;141.65;148.82;168.3;164.62;0.96;2.48;179.04;177.52;265.76;3.4;19.39;
19;1;1136.71;569.11;1.01;1140.95;565.64;0.98;1134.39;565.26;0.99;1149.44;567.96;0.87;1129.38;567.96;0.66;1160.24;593.81;0.87;1121.27;596.89;0.88;1167.96;625.05;0.88;1117.03;623.9;0.84;1148.28;632.0;0.82;1120.5;632.0;0.77;1154.84;657.08;0.81;1135.16;658.62;0.82;1150.98;695.27;0.82;1138.25;697.2;0.84;1154.45;741.57;0.86;1147.12;737.32;0.83;95.57;147.87;169.94;172.1;179.11;171.89;18.75;21.61;161.25;158.39;170.33;12.63;8.79;
