frame;person_id;nose_x;nose_y;nose_conf;left_eye_x;left_eye_y;left_eye_conf;right_eye_x;right_eye_y;right_eye_conf;left_ear_x;left_ear_y;left_ear_conf;right_ear_x;right_ear_y;right_ear_conf;left_shoulder_x;left_shoulder_y;left_shoulder_conf;right_shoulder_x;right_shoulder_y;right_shoulder_conf;left_elbow_x;left_elbow_y;left_elbow_conf;right_elbow_x;right_elbow_y;right_elbow_conf;left_wrist_x;left_wrist_y;left_wrist_conf;right_wrist_x;right_wrist_y;right_wrist_conf;left_hip_x;left_hip_y;left_hip_conf;right_hip_x;right_hip_y;right_hip_conf;left_knee_x;left_knee_y;left_knee_conf;right_knee_x;right_knee_y;right_knee_conf;left_ankle_x;left_ankle_y;left_ankle_conf;right_ankle_x;right_ankle_y;right_ankle_conf;left_elbow_angle_2d_proj;right_elbow_angle_2d_proj;left_knee_angle_2d_proj;right_knee_angle_2d_proj;left_hip_angle_2d_proj;right_hip_angle_2d_proj;left_shoulder_angle_2d_proj;right_shoulder_angle_2d_proj;left_apparent_shoulder_rotation_2d_deg;right_apparent_shoulder_rotation_2d_deg;body_height_px;left_wrist_apparent_velocity_px_s;right_wrist_apparent_velocity_px_s;detected_event
30;0;1140.6;643.37;1.0;1141.68;642.29;1.01;1138.96;642.47;1.04;1143.86;643.56;0.61;1137.33;643.74;0.61;1150.94;654.44;0.88;1131.52;655.71;0.89;1155.11;668.77;0.89;1129.71;671.86;0.9;1158.56;680.93;0.86;1130.62;684.74;0.75;1147.67;685.28;0.84;1136.06;685.28;0.82;1150.75;702.7;0.86;1138.42;699.62;0.86;1142.77;723.93;0.86;1132.25;724.11;0.88;179.6;169.56;149.35;156.52;163.91;179.38;22.28;15.13;157.72;164.87;80.64;74.11;165.66;
31;0;1140.96;641.69;0.99;1142.32;640.91;1.0;1139.2;640.91;1.02;1144.27;641.88;0.76;1137.84;642.27;0.72;1150.51;653.0;0.85;1132.57;653.78;0.89;1154.61;664.31;0.84;1132.37;667.44;0.84;1157.92;672.9;0.78;1137.64;672.9;0.63;1147.2;683.62;0.84;1135.3;683.23;0.82;1151.88;703.32;0.84;1140.96;699.62;0.88;1143.3;724.58;0.83;1132.96;725.75;0.84;178.78;135.22;144.65;143.94;160.45;166.25;26.08;6.12;153.92;173.88;83.48;241.72;413.05;
32;0;1141.57;640.77;0.96;1143.14;639.6;0.87;1140.01;639.4;0.9;1145.09;640.77;0.65;1137.67;641.36;0.6;1149.97;650.54;0.88;1132.98;651.32;0.91;1155.05;661.87;0.8;1135.52;658.94;0.79;1156.42;657.18;0.5;1148.8;654.45;0.69;1147.04;682.38;0.89;1135.13;682.38;0.87;1152.91;702.7;0.86;1142.16;700.36;0.89;1145.29;723.61;0.84;1134.74;725.56;0.88;40.41;89.75;143.88;142.22;158.65;162.59;29.4;14.48;150.6;165.52;83.81;473.62;646.94;
33;0;1143.37;636.19;0.93;1145.21;634.96;0.85;1141.72;635.16;0.88;1146.65;636.81;0.49;1138.24;637.01;0.58;1150.76;645.43;0.88;1133.72;645.02;0.92;1158.14;652.82;0.88;1139.26;646.66;0.75;1158.35;643.58;0.81;1147.88;639.68;0.7;1147.68;679.7;0.89;1137.0;679.7;0.88;1153.01;701.46;0.88;1141.52;700.43;0.91;1146.45;722.81;0.9;1135.98;725.27;0.94;46.27;124.5;149.12;155.13;161.09;173.12;50.13;68.09;129.87;111.91;87.85;412.1;443.81;
34;0;1143.93;630.91;0.9;1144.9;629.22;0.91;1142.0;629.7;0.85;1146.59;629.7;0.48;1139.34;630.91;0.49;1151.42;639.85;0.85;1134.98;638.4;0.87;1161.33;643.96;0.84;1140.79;632.6;0.73;1157.95;631.88;0.83;1147.31;622.21;0.74;1148.52;675.63;0.86;1137.89;676.12;0.85;1151.91;699.08;0.88;1138.61;699.32;0.89;1148.04;721.56;0.89;1136.68;724.22;0.92;51.84;167.12;162.03;173.77;167.15;177.39;72.11;130.6;107.89;49.4;91.98;351.32;524.49;take_off
35;0;1146.17;623.29;0.9;1147.22;621.98;0.92;1144.07;622.77;0.83;1148.28;622.24;0.58;1141.17;623.56;0.56;1153.02;633.04;0.85;1136.69;631.46;0.86;1163.55;634.62;0.87;1140.91;622.5;0.84;1158.28;623.56;0.85;1145.38;609.08;0.91;1149.86;669.11;0.9;1138.27;670.16;0.88;1150.91;694.38;0.9;1137.22;694.91;0.9;1150.12;718.34;0.92;1136.69;720.97;0.92;56.01;173.23;175.73;178.72;172.61;175.23;86.48;152.46;93.52;27.54;96.36;249.75;398.12;
36;0;1144.48;618.85;0.86;1146.12;617.49;0.87;1142.56;618.03;0.87;1148.31;619.13;0.57;1139.55;618.58;0.58;1152.97;628.71;0.84;1136.54;626.8;0.86;1167.21;629.26;0.85;1138.46;615.57;0.82;1161.73;619.95;0.84;1145.03;602.97;0.84;1149.68;663.49;0.85;1137.63;663.76;0.86;1151.87;688.13;0.86;1137.09;689.5;0.87;1150.78;710.31;0.88;1137.36;714.97;0.88;57.33;162.14;172.09;178.17;169.52;177.08;93.2;168.61;86.8;11.39;93.79;149.73;183.45;
37;0;1144.98;614.61;0.82;1146.03;612.49;0.78;1142.86;613.55;0.78;1148.42;614.61;0.58;1138.89;615.14;0.63;1153.45;625.46;0.82;1136.77;623.88;0.86;1166.95;624.67;0.8;1137.03;611.17;0.85;1165.89;619.11;0.8;1143.92;598.73;0.86;1150.8;658.02;0.81;1138.62;658.02;0.82;1154.24;681.85;0.83;1137.83;683.44;0.83;1151.33;701.7;0.78;1136.77;708.59;0.85;82.58;152.24;163.44;179.38;167.13;175.1;98.01;175.7;81.99;4.3;90.54;127.26;131.68;
38;0;1145.48;607.21;0.78;1145.97;605.27;0.74;1143.3;605.75;0.73;1147.91;608.18;0.56;1139.9;607.45;0.61;1152.28;619.1;0.82;1137.47;616.92;0.84;1162.47;619.83;0.78;1133.34;607.21;0.85;1167.57;615.22;0.78;1141.84;596.53;0.84;1151.06;651.63;0.76;1138.68;651.15;0.77;1156.65;676.88;0.81;1137.23;677.36;0.81;1149.61;691.93;0.71;1136.26;700.18;0.82;133.78;118.47;142.46;179.26;165.39;174.79;88.05;159.01;91.95;20.99;88.85;127.12;90.68;
39;0;1145.56;602.67;0.78;1146.69;601.31;0.77;1143.52;601.31;0.77;1148.5;604.48;0.63;1140.13;603.57;0.65;1153.02;615.33;0.82;1137.42;612.62;0.83;1162.51;616.69;0.85;1131.77;607.64;0.87;1166.81;608.77;0.84;1140.81;596.57;0.87;1152.11;648.56;0.75;1138.55;647.88;0.78;1157.09;676.14;0.81;1136.29;674.56;0.81;1149.63;688.58;0.61;1134.71;696.71;0.84;110.37;92.12;138.81;179.24;168.22;173.32;83.43;133.18;96.57;46.82;89.98;194.77;30.93;
